PNAME,POS,TEAM,YEAR,TYPE,GP,GS,MIN,PTS,OR,DR,REB,AST,STL,BLK,TO,PF,AST/TO,PER
Jamal Mashburn,SF,no,2003,33,41,40,40.4,22.4,0.7,5.6,6.3,5.7,1,0.3,2.9,2.3,2,0
David Wesley,SG,no,2003,33,36,36,38.1,17.6,0.7,1.8,2.5,4,1.6,0.2,1.8,2.5,2.2,0
Baron Davis,PG,no,2003,33,25,25,37,16.9,1,2.7,3.7,7.4,2,0.6,2.8,3,2.7,0
Jamaal Magloire,C,no,2003,33,41,41,31.5,11.5,3.7,6.3,10,1.5,0.7,1.6,1.9,3.2,0.8,0
P.J. Brown,PF,no,2003,33,39,39,32.9,11.3,2.7,5.7,8.4,1.9,0.9,1,1.3,2.6,1.4,0
Courtney Alexander,SG,no,2003,33,33,3,20.2,8.3,0.5,1.2,1.7,1.4,0.4,0.1,0.9,1.7,1.6,0
Kenny Anderson,PG,no,2003,33,9,0,22.7,7.7,0.4,1.2,1.7,4,1.7,0.2,1.6,2.2,2.6,0
Elden Campbell,C,no,2003,33,20,0,16.3,5.9,1.1,3,4.1,1.2,0.5,0.7,1.2,2.3,1,0
George Lynch,SF,no,2003,33,40,17,19.3,5.1,1.9,2.9,4.8,1.7,0.9,0.2,0.6,1.7,3,0
Robert Pack,PG,no,2003,33,19,2,15.1,5,0.3,1.5,1.8,3.3,1.1,0,1.3,1.4,2.5,0
Jerome Moiso,C,no,2003,33,26,0,12.8,4.6,1.1,2.7,3.8,0.4,0.4,0.8,1,1.9,0.4,0
Robert Traylor,PF,no,2003,33,34,0,11.2,3.9,1.2,2,3.2,0.7,0.9,0.7,0.9,2.1,0.7,0
Randy Livingston,PG,no,2003,33,2,0,6,3,0,0,0,0.5,0,0,0,0,INF,0
Stacey Augmon,SF,no,2003,33,32,2,11.8,2.6,0.3,1.3,1.7,1.3,0.4,0.1,0.6,1.1,2,0
Bryce Drew,PG,no,2003,33,6,0,7.3,1.2,0.3,0.5,0.8,1.3,0.2,0,0.2,0.2,8,0
Kirk Haston,F,no,2003,33,7,0,5.6,0.6,0,0.6,0.6,0.4,0,0.3,1,1.4,0.4,0
Jamal Mashburn,SF,no,2003,34,41,41,40.6,20.9,0.9,5,5.8,5.5,1.1,0.1,2.8,2.5,2,0
Baron Davis,PG,no,2003,34,25,22,38.6,17.4,1.2,2.5,3.8,5.4,1.6,0.3,2.8,2.9,1.9,0
David Wesley,SG,no,2003,34,37,37,36.2,15.8,0.4,2,2.3,2.9,1.4,0.1,1.8,2.3,1.6,0
P.J. Brown,PF,no,2003,34,39,39,34,10.1,3.5,6.1,9.6,1.8,0.8,1,1.2,2.6,1.6,0
Jamaal Magloire,C,no,2003,34,41,41,28.1,9,2.7,5,7.7,0.6,0.5,1.1,1.9,3.5,0.3,0
Elden Campbell,C,no,2003,34,21,1,17.1,8.5,0.6,2.3,2.9,0.9,0.7,0.9,0.9,2.7,1.1,0
Courtney Alexander,SG,no,2003,34,33,4,21,7.6,0.6,1.2,1.9,1,0.6,0.1,1.2,2.1,0.8,0
Robert Pack,PG,no,2003,34,9,2,17,5.6,0.7,1.2,1.9,2.1,0.6,0,1.7,0.9,1.3,0
Kenny Anderson,PG,no,2003,34,14,1,17.3,5,0.7,1.4,2.1,2.9,0.2,0.1,2,1.6,1.5,0
George Lynch,SF,no,2003,34,41,15,17.7,3.9,1.5,2.4,3.9,0.9,0.8,0.2,0.7,1.7,1.2,0
Robert Traylor,PF,no,2003,34,35,0,13.5,3.9,1.9,2.5,4.4,0.8,0.5,0.4,0.6,2.3,1.2,0
Stacey Augmon,SF,no,2003,34,38,1,12.8,3.4,0.4,1.3,1.7,0.8,0.4,0.1,0.5,1.2,1.5,0
Jerome Moiso,C,no,2003,34,25,1,12.4,3.4,1.2,1.9,3.1,0.4,0.4,1,0.8,1.5,0.6,0
Bryce Drew,PG,no,2003,34,7,0,5,1.7,0.3,0.9,1.1,0.4,0.1,0,0.3,0.1,1.5,0
Kirk Haston,F,no,2003,34,5,0,3.6,0.4,0,0.6,0.6,0,0,0.6,0,0,0,0
Baron Davis,PG,no,2004,33,34,34,40.2,22.6,0.9,3.6,4.4,8.4,2.6,0.4,2.9,2.5,2.9,0
Jamal Mashburn,SF,no,2004,33,11,10,39.3,21,0.8,4.8,5.6,2.6,0.6,0.3,1.7,1.8,1.5,0
David Wesley,SG,no,2004,33,29,29,32.8,14.7,0.6,1.9,2.5,3.2,1.1,0.2,1.4,2.2,2.3,0
Jamaal Magloire,C,no,2004,33,41,41,34.3,14.5,3.1,7.4,10.6,1.1,0.7,1.3,2.5,3.3,0.5,0
Darrel Armstrong,PG,no,2004,33,40,11,28,10.6,0.7,2.2,2.9,4.1,1.9,0.3,1.8,1.7,2.3,0
P.J. Brown,PF,no,2004,33,40,40,34.8,10.2,2.6,5.4,8,2.2,1,1,1.3,2.6,1.7,0
