,YEAR,Salary Cap,factor
0,2027,147776000,0.7385502381983543
1,2026,140739000,0.7754780124912072
2,2025,134037000,0.814252780948544
3,2024,127654000,0.854967333573566
4,2023,121575000,0.8977174583590376
5,2022,115786000,0.9426010053028864
6,2021,112414000,0.9708755137260484
7,2020,109140000,1.0
8,2019,109140000,1.0
9,2018,101869000,1.0713759828799734
10,2017,99093000,1.10138960370561
11,2016,94143000,1.159300213504987
12,2015,70000000,1.5591428571428572
13,2014,63065000,1.7305954174264648
14,2013,58679000,1.8599498968966752
15,2012,58044000,1.880297705189167
16,2011,58044000,1.880297705189167
17,2010,58044000,1.880297705189167
18,2009,57700000,1.8915077989601385
19,2008,58680000,1.859918200408998
20,2007,55630000,1.961891065971598
21,2006,53135000,2.0540133621906467
22,2005,49500000,2.204848484848485
23,2004,43870000,2.4878048780487805
24,2003,43840000,2.489507299270073
25,2002,40271000,2.710138809565196
26,2001,42500000,2.568
27,2000,35500000,3.0743661971830987
28,1999,34000000,3.21
29,1998,30000000,3.638
30,1997,26900000,4.05724907063197
31,1996,24363000,4.479743873907155
32,1995,23000000,4.745217391304347
33,1994,15964000,6.8366324229516415
34,1993,15175000,7.192092257001647
35,1992,14000000,7.795714285714285
36,1991,12500000,8.7312
37,1990,11871000,9.19383371240839
38,1989,9802000,11.134462354621506
39,1988,7232000,15.091261061946902
40,1987,6164000,17.706035042180403
41,1986,4945000,22.070778564206268
42,1986,4945000,22.070778564206268
43,1985,4233000,25.783132530120483
44,1984,3600000,30.316666666666666
