PNAME,POS,TEAM,YEAR,TYPE,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,SC-EFF,SH-EFF
Shareef Abdur-Rahim,PF,atl,2002,33,8.1,17.1,47.4,0.4,1.1,39,5.2,6.4,81.6,7.7,16,48,1.279,0.49
Jason Terry,G,atl,2002,33,7.3,16.3,44.6,2.3,5.7,39.9,3.9,4.7,82,5,10.6,47.1,1.269,0.52
Theo Ratliff,C,atl,2002,33,5,8,62.5,0,0,0,2,6,33.3,5,8,62.5,1.5,0.63
Toni Kukoc,SF,atl,2002,33,4.1,9.1,45.3,1.1,3,36.7,2,2.7,76.3,3,6.1,49.5,1.248,0.51
Dion Glover,SG,atl,2002,33,4.5,9.8,46.3,0.8,2.3,36.8,1.3,1.6,78,3.7,7.5,49.2,1.143,0.51
Nazr Mohammed,C,atl,2002,33,4.3,9.2,47,0,0,0,2,3.2,61.7,4.3,9.2,47,1.156,0.47
DerMarr Johnson,SF,atl,2002,33,3.3,8.3,40.1,1.6,4,39.7,1,1.4,76.1,1.7,4.3,40.4,1.117,0.5
Ira Newble,SF,atl,2002,33,3.4,6.4,53.3,0,0.1,0,2.3,2.6,90.7,3.4,6.3,54.5,1.43,0.53
Jacque Vaughn,PG,atl,2002,33,2.7,5,53.2,0.3,0.6,52,1,1.3,79.2,2.3,4.4,53.3,1.332,0.56
Alan Henderson,PF,atl,2002,33,2.8,5.5,51.2,0.1,0.1,100,0.9,1.5,59.1,2.7,5.4,50.6,1.195,0.52
Hanno Mottola,C,atl,2002,33,2.2,4.3,51.4,0,0.1,0,0.4,0.6,72,2.2,4.2,52.3,1.13,0.51
Emanual Davis,G,atl,2002,33,1.9,5.8,32.9,0.5,2.4,19.4,0.5,0.6,87.5,1.5,3.5,42.2,0.829,0.37
Mark Strickland,F,atl,2002,33,2,4.2,46.9,0,0.2,25,0.7,1.3,51.6,1.9,4,47.8,1.115,0.47
Cal Bowdler,F,atl,2002,33,0.7,2.4,29.5,0,0,0,0.6,0.7,82.4,0.7,2.4,29.5,0.82,0.3
Leon Smith,PF,atl,2002,33,0.6,1.6,38.5,0,0,0,0.8,1,75,0.6,1.6,38.5,1.231,0.38
Chris Crawford,SF,atl,2002,33,0.5,3,16.7,0,0,0,0,0,0,0.5,3,16.7,0.333,0.17
Dickey Simpkins,F,atl,2002,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Reggie Slater,F,atl,2002,33,0,1,0,0,0,0,0,0,0,0,1,0,0,0
Shareef Abdur-Rahim,PF,atl,2002,34,7.4,16.6,44.7,0.1,0.8,17.2,5.7,7.2,78.8,7.3,15.8,46,1.242,0.45
Jason Terry,G,atl,2002,34,6.1,14.9,41,2.1,5.7,37.4,3.4,3.9,85.6,4,9.2,43.2,1.191,0.48
Chris Crawford,SF,atl,2002,34,4,7.8,51.3,0,0.2,0,2.2,3,73.3,4,7.6,52.6,1.308,0.51
Nazr Mohammed,C,atl,2002,34,3.7,8.1,45.2,0,0,0,1.3,2.2,61.8,3.7,8.1,45.3,1.069,0.45
Toni Kukoc,SF,atl,2002,34,3,7.9,37.8,0.7,2.8,24.7,1.7,2.5,65.8,2.3,5.1,45,1.052,0.42
Emanual Davis,G,atl,2002,34,3,8.1,36.9,1.5,3.6,42.6,0.6,0.7,90,1.5,4.5,32.4,1,0.46
DerMarr Johnson,SF,atl,2002,34,2.7,6.8,39.1,0.9,2.9,31.5,1.3,1.6,84.7,1.7,3.9,44.9,1.112,0.46
Dion Glover,SG,atl,2002,34,2.6,7.1,37.3,0.3,1.1,26.5,1.5,2.1,74.2,2.3,5.9,39.3,1.005,0.39
Theo Ratliff,C,atl,2002,34,2.5,6,41.7,0,0,0,2,2.5,80,2.5,6,41.7,1.167,0.42
Ira Newble,SF,atl,2002,34,2.8,6.1,46.1,0,0.2,25,1.2,1.6,76.5,2.8,5.9,46.8,1.133,0.46
Jacque Vaughn,PG,atl,2002,34,2.4,5.7,41.6,0.3,0.7,37.9,1.5,1.8,84.9,2.1,5,42.2,1.146,0.44
Reggie Slater,F,atl,2002,34,1.7,4,41.7,0,0,0,2,3,66.7,1.7,4,41.7,1.333,0.42
Hanno Mottola,C,atl,2002,34,1.9,5,37.7,0,0.2,10,1,1.2,76.5,1.9,4.8,39.1,0.947,0.38
Mark Strickland,F,atl,2002,34,2,4.7,42.6,0,0,0,0.4,0.6,69.2,2,4.7,42.6,0.935,0.43
Cal Bowdler,F,atl,2002,34,1.6,4.2,38.1,0,0.2,20,0.9,1.1,83.3,1.6,4,38.9,0.991,0.38
Alan Henderson,PF,atl,2002,34,1.5,3.1,50,0,0,0,1,2.1,47.8,1.5,3.1,50,1.324,0.5
Leon Smith,PF,atl,2002,34,0.8,2.2,38.5,0,0,0,0.8,1.5,55.6,0.8,2.2,38.5,1.154,0.38
Glenn Robinson,SF,atl,2003,33,8.1,18,45.1,1.4,3.7,38.5,4.4,5,87.9,6.7,14.3,46.8,1.226,0.49
Shareef Abdur-Rahim,PF,atl,2003,33,7.3,14.8,49.5,0.3,0.9,37.1,5.5,6.6,82.7,7,14,50.3,1.382,0.51
Jason Terry,G,atl,2003,33,6.2,14.4,43.5,1.9,5.2,36.4,3.6,4,89.6,4.3,9.1,47.5,1.251,0.5
Dion Glover,SG,atl,2003,33,3.9,9,43.5,0.8,2.4,32.9,1.8,2.3,79,3.1,6.6,47.3,1.154,0.48
Theo Ratliff,C,atl,2003,33,3.3,7,46.6,0,0,0,2.1,3,70.8,3.3,7,46.6,1.235,0.47
Ira Newble,SF,atl,2003,33,3.4,6.8,50.6,0.5,1.4,37.3,1,1.3,80.9,2.9,5.4,54,1.239,0.54
Corey Benjamin,G,atl,2003,33,2.4,6.4,37.5,0.4,1.8,22.2,2.2,2.8,78.6,2,4.6,43.5,1.156,0.41
Mike Wilks,PG,atl,2003,33,2,5.7,35,0.3,0.9,33.3,1.1,2,57.1,1.7,4.9,35.3,0.95,0.38
Alan Henderson,PF,atl,2003,33,1.8,4,46.3,0,0,0,1.2,1.7,70.4,1.8,3.9,46.6,1.235,0.46
Nazr Mohammed,C,atl,2003,33,1.9,4.1,47,0,0,0,1,1.5,66.7,1.9,4.1,47,1.182,0.47
Mikki Moore,C,atl,2003,33,1.3,2.8,45.5,0,0,0,2,2.5,80,1.3,2.8,45.5,1.636,0.45
Dan Dickau,PG,atl,2003,33,1.3,2.9,43.8,0.4,1.2,34.5,0.4,0.5,91.7,0.9,1.8,50,1.164,0.51
Emanual Davis,G,atl,2003,33,0.8,3.1,26.5,0.2,1,18.2,0.9,1.3,71.4,0.6,2.1,30.4,0.882,0.29
Jermaine Jackson,PG,atl,2003,33,0.9,1.6,56.5,0,0,0,0.8,1.3,61.1,0.9,1.6,56.5,1.609,0.57
Matt Maloney,G,atl,2003,33,0.8,2.4,31.6,0.6,1.5,41.7,0.4,0.6,60,0.1,0.9,14.3,1.053,0.45
Amal McCaskill,C,atl,2003,33,1,2.3,44.4,0,0,0,0.3,0.5,50,1,2.3,44.4,1,0.44
Darvin Ham,SF,atl,2003,33,0.8,1.9,44.6,0,0,0,0.6,1.1,54.1,0.8,1.9,44.6,1.2,0.45
Chris Crawford,SF,atl,2003,33,1,1.5,66.7,0,0,0,0,0,0,1,1.5,66.7,1.333,0.67
Antonio Harvey,F,atl,2003,33,0.5,1,50,0,0,0,0,0,0,0.5,1,50,1,0.5
Brandon Williams,F,atl,2003,33,0.5,1.5,33.3,0,0,0,0,0,0,0.5,1.5,33.3,0.667,0.33
Glenn Robinson,SF,atl,2003,34,7.5,18.2,41.4,1.2,3.9,30.5,3.4,3.9,87.2,6.3,14.3,44.4,1.083,0.45
Shareef Abdur-Rahim,PF,atl,2003,34,6.6,14.4,46.1,0.2,0.6,32,5.8,6.7,85.5,6.4,13.8,46.7,1.336,0.47
Jason Terry,G,atl,2003,34,5.8,13.8,42,2.1,5.4,37.8,2.8,3.2,87.5,3.8,8.4,44.8,1.192,0.49
Dion Glover,SG,atl,2003,34,3.4,8.1,42,0.7,1.8,38.4,1.6,2,77.8,2.7,6.3,43,1.12,0.46
Theo Ratliff,C,atl,2003,34,3.5,7.7,46.2,0,0,0,1.7,2.3,73.4,3.5,7.7,46.2,1.143,0.46
Ira Newble,SF,atl,2003,34,2.9,6,48.1,0.4,0.9,39.4,0.9,1.2,74.4,2.5,5.1,49.7,1.171,0.51
Chris Crawford,SF,atl,2003,34,2,3.3,60,0.3,1,33.3,2.3,2.7,87.5,1.7,2.3,71.4,2,0.65
Mike Wilks,PG,atl,2003,34,1.9,5.1,36.6,0.5,1.4,36.4,1.6,1.9,86.7,1.4,3.8,36.7,1.146,0.41
Alan Henderson,PF,atl,2003,34,1.9,4,47.3,0,0,0,0.9,1.6,56.7,1.9,4,47.6,1.176,0.47
Emanual Davis,G,atl,2003,34,1.8,4.2,42.6,0.4,1.4,27.8,0.5,0.6,87.5,1.4,2.8,50,1.074,0.47
Nazr Mohammed,C,atl,2003,34,1.9,4.9,38.7,0,0,0,0.5,0.9,58.8,1.9,4.9,38.7,0.882,0.39
Dan Dickau,PG,atl,2003,34,1.5,3.9,39.2,0.5,1.3,37.5,0.4,0.6,71.4,1,2.6,40,1.01,0.45
Darvin Ham,SF,atl,2003,34,1.1,2.4,44.7,0,0.1,0,0.5,1.1,42.9,1.1,2.3,46.2,1.085,0.45
Jermaine Jackson,PG,atl,2003,34,0.4,1.3,31.6,0,0.1,0,0.4,0.7,60,0.4,1.2,33.3,0.947,0.32
Antonio Harvey,F,atl,2003,34,0.5,1.5,33.3,0,0,0,0,0,0,0.5,1.5,33.3,0.667,0.33
Corey Benjamin,G,atl,2003,34,0.3,2.8,9.1,0,1,0,0.3,0.5,50,0.3,1.8,14.3,0.273,0.09
Matt Maloney,G,atl,2003,34,0.3,1,33.3,0,0.5,0,0,0,0,0.3,0.5,66.7,0.667,0.33
Amal McCaskill,C,atl,2003,34,0,1.1,0,0,0,0,0.3,0.3,100,0,1.1,0,0.25,0
Mikki Moore,C,atl,2003,34,0,1,0,0,0,0,0,0,0,0,1,0,0,0
Brandon Williams,F,atl,2003,34,0,1,0,0,0.3,0,0,0,0,0,0.8,0,0,0
Paul Shirley,PF,atl,2003,34,0,2,0,0,0,0,0,0,0,0,2,0,0,0
Shareef Abdur-Rahim,PF,atl,2004,33,8.1,16.1,50.3,0.1,0.4,30,6.8,7.3,92.4,8,15.7,50.8,1.434,0.51
Stephen Jackson,SF,atl,2004,33,7,16.3,43.1,1.9,5.5,34.9,3.3,4.3,78.3,5.1,10.8,47.3,1.184,0.49
Jason Terry,G,atl,2004,33,6.7,15.9,42,1.9,5.4,34.6,3.3,4,81.8,4.8,10.5,45.7,1.161,0.48
Bob Sura,PG,atl,2004,33,4.9,11.9,40.7,0.4,1.6,27.3,5.9,7.1,83,4.4,10.4,42.8,1.347,0.43
Jason Collier,C,atl,2004,33,4.1,8.3,49.5,0.1,0.1,100,4.3,5.3,81,4,8.2,48.9,1.516,0.5
Chris Crawford,SF,atl,2004,33,3.9,7.9,49.1,0.7,1.9,37.7,1.7,1.8,92.2,3.2,6,52.7,1.284,0.54
Theo Ratliff,C,atl,2004,33,3.5,7.5,47,0,0,0,2,3.4,59.8,3.5,7.5,47,1.213,0.47
Dion Glover,SG,atl,2004,33,3.2,8.8,36.2,0.6,1.9,33.3,1.8,2.4,75,2.5,6.9,37,1.004,0.4
Wesley Person,SF,atl,2004,33,2,5.7,35.3,1.7,4,41.7,1.3,1.3,100,0.3,1.7,20,1.235,0.5
Nazr Mohammed,C,atl,2004,33,2.7,5.2,51.1,0,0,0,1.2,1.9,61.5,2.7,5.2,51.1,1.248,0.51
Lee Nailon,SF,atl,2004,33,2.3,5.3,42.2,0,0,0,0.9,0.9,100,2.3,5.3,42.2,1.016,0.42
