,name,href,uid,guid,id,height,weight,age,position,jersey,salary,birthDate,headshot,lastName,experience,college,birthPlace,hand,GP,GS,MIN,FGM,FGA,FG%,3PTM,3PTA,3P%,FTM,FTA,FT%,OR,DR,REB,AST,BLK,STL,PF,TO,PTS
0,Jaylen Brown,https://www.espn.com/nba/player/_/id/3917376/jaylen-brown,s:40~l:46~a:3917376,0d5cde01f6d3225fdae544ef3304cda2,3917376,78.0,223.0,23,SG,7.0,6534829.0,10/24/96,https://a.espncdn.com/i/headshots/nba/players/full/3917376.png,Jaylen Brown,4,California,"Marietta, GA",,279.0,172.0,26.3,4.9,10.4,46.8,1.4,3.8,37.1,1.9,2.9,67.8,0.9,3.6,4.5,1.4,0.3,0.9,2.4,1.5,13.1
1,Carsen Edwards,https://www.espn.com/nba/player/_/id/4066407/carsen-edwards,s:40~l:46~a:4066407,4b8ebdfd01221567925035c1e0d0c337,4066407,71.0,200.0,22,PG,4.0,1228026.0,03/12/98,https://a.espncdn.com/i/headshots/nba/players/full/4066407.png,Carsen Edwards,1,Purdue,"Houston, TX",,37.0,0.0,9.5,1.1,3.5,32.8,0.6,2.1,31.6,0.4,0.5,68.4,0.2,1.1,1.3,0.6,0.1,0.3,0.9,0.4,3.3
2,Tacko Fall,https://www.espn.com/nba/player/_/id/3904625/tacko-fall,s:40~l:46~a:3904625,cec7bd80fe2880fe8d9efe9a2294a563,3904625,89.0,311.0,24,C,99.0,0.0,12/10/95,https://a.espncdn.com/i/headshots/nba/players/full/3904625.png,Tacko Fall,1,UCF,Senegal,,7.0,0.0,4.7,1.6,2.0,78.6,0.0,0.0,0.0,0.1,0.4,33.3,0.1,2.0,2.1,0.1,0.6,0.1,1.0,0.4,3.3
3,Javonte Green,https://www.espn.com/nba/player/_/id/2596112/javonte-green,s:40~l:46~a:2596112,a4940ed033e0a114e8862f5a094aa3f8,2596112,76.0,205.0,27,SG,43.0,898310.0,07/23/93,https://a.espncdn.com/i/headshots/nba/players/full/2596112.png,Javonte Green,1,Radford,"Alberta, VA",,48.0,2.0,9.8,1.3,2.6,50.0,0.2,0.7,27.3,0.6,0.9,66.7,0.5,1.4,1.9,0.5,0.2,0.5,0.9,0.5,3.4
4,Gordon Hayward,https://www.espn.com/nba/player/_/id/4249/gordon-hayward,s:40~l:46~a:4249,56f675cb8f40a5aaee5f5747ec9099c5,4249,79.0,225.0,30,SF,20.0,32700690.0,03/23/90,https://a.espncdn.com/i/headshots/nba/players/full/4249.png,Gordon Hayward,10,Butler,"Indianapolis, IN",,641.0,479.0,30.8,5.3,11.6,45.1,1.3,3.6,36.6,3.5,4.2,82.3,0.8,3.6,4.4,3.5,0.4,1.0,1.8,2.0,15.3
5,Enes Kanter,https://www.espn.com/nba/player/_/id/6447/enes-kanter,s:40~l:46~a:6447,1e039b407b3daa6eeac69432aa6413fd,6447,82.0,250.0,28,C,11.0,4767000.0,05/20/92,https://a.espncdn.com/i/headshots/nba/players/full/6447.png,Enes Kanter,9,Kentucky,Switzerland,,641.0,223.0,21.7,4.7,8.7,54.3,0.1,0.2,28.7,2.0,2.6,77.6,2.9,4.7,7.6,0.9,0.5,0.4,2.2,1.5,11.6
6,Romeo Langford,https://www.espn.com/nba/player/_/id/4397008/romeo-langford,s:40~l:46~a:4397008,75220698859cebd0a78dd7abedc92687,4397008,76.0,216.0,20,SG,45.0,3458400.0,10/25/99,https://a.espncdn.com/i/headshots/nba/players/full/4397008.png,Romeo Langford,1,Indiana,"New Albany, IN",,32.0,2.0,11.6,0.9,2.5,35.0,0.2,0.8,18.5,0.6,0.8,72.0,0.5,0.8,1.3,0.4,0.3,0.3,1.0,0.3,2.5
7,Semi Ojeleye,https://www.espn.com/nba/player/_/id/3056602/semi-ojeleye,s:40~l:46~a:3056602,b708196e083cbae669f4c726a15dedbe,3056602,78.0,240.0,25,PF,37.0,1618520.0,12/05/94,https://a.espncdn.com/i/headshots/nba/players/full/3056602.png,Semi Ojeleye,3,SMU,"Overland Park, KS",,198.0,9.0,13.9,1.1,2.7,39.1,0.6,1.7,34.0,0.4,0.6,68.8,0.4,1.5,2.0,0.4,0.1,0.3,1.1,0.3,3.1
8,Vincent Poirier,https://www.espn.com/nba/player/_/id/4237215/vincent-poirier,s:40~l:46~a:4237215,3cc13d622a26f0a48ff42fc6ee7370fb,4237215,84.0,235.0,27,C,77.0,2505793.0,10/17/93,https://a.espncdn.com/i/headshots/nba/players/full/4237215.png,Vincent Poirier,1,,France,,22.0,0.0,5.9,0.8,1.6,47.2,0.0,0.1,50.0,0.3,0.3,85.7,0.6,1.4,2.0,0.4,0.4,0.1,1.1,0.4,1.9
9,Marcus Smart,https://www.espn.com/nba/player/_/id/2990992/marcus-smart,s:40~l:46~a:2990992,f5096a5bcbc51d7fd40656c623c434e5,2990992,75.0,220.0,26,PG,36.0,12553571.0,03/06/94,https://a.espncdn.com/i/headshots/nba/players/full/2990992.png,Marcus Smart,6,Oklahoma State,"Dallas, TX",,401.0,183.0,28.9,3.3,8.8,37.3,1.5,4.6,31.8,1.9,2.4,77.5,0.9,2.7,3.6,4.1,0.4,1.6,2.6,1.7,9.9
